
test_runs,variables,constraints,timestamp,total_avg,total_max,total_min,feasible_avg,feasible_max,feasible_min,infeas_avg,infeas_max,infeas_min,zero_max,zero_min,zero_avg
10,100,700,2024-11-06 16:32:08.469277,0.0070188,0.034273,1e-06,0.00029862499999999995,0.000492,1e-06,0.0338995,0.034273,0.033526,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:32:14.185769,0.013425300000000001,0.034273,1e-06,0.00011650000000000001,0.000445,1e-06,0.0333885,0.034273,0.032368,2e-06,1e-06,1.5e-06
10,100,700,2024-11-06 16:32:21.125842,0.0208116,0.035643,0.000253,0.0003195,0.000497,0.000253,0.034473,0.035643,0.031896,nan,nan,nan
10,100,700,2024-11-06 16:32:43.004509,0.013880700000000001,0.035714,1e-06,0.0001925,0.000309,1e-06,0.034413,0.035714,0.033688,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:33:04.044603,0.0314512,0.038124,1e-06,1e-06,1e-06,1e-06,0.034945666666666673,0.038124,0.032239,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:33:22.780644,0.024544099999999996,0.037549,1e-06,1e-06,1e-06,1e-06,0.03506257142857143,0.037549,0.032707,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:33:27.737258,0.0317515,0.036859,1e-06,1e-06,1e-06,1e-06,0.03527933333333333,0.036859,0.031305,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:33:53.324095,0.031181800000000003,0.037159,0.000314,0.000314,0.000314,0.000314,0.03461155555555556,0.037159,0.031533,nan,nan,nan
10,100,700,2024-11-06 16:33:59.417246,0.0282165,0.038185,1e-06,0.00014600000000000003,0.000291,1e-06,0.035234125,0.038185,0.033116,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:34:48.452487,0.03175599999999999,0.036828,2e-06,2e-06,2e-06,2e-06,0.03528422222222222,0.036828,0.033812,2e-06,2e-06,2e-06
10,100,700,2024-11-06 16:34:53.568856,0.03132240000000001,0.037594,1e-06,1e-06,1e-06,1e-06,0.03480255555555556,0.037594,0.032217,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:35:14.344452,0.014931700000000001,0.039637,0.000281,0.00035,0.000511,0.000281,0.036804250000000004,0.039637,0.035117,nan,nan,nan
10,100,700,2024-11-06 16:35:19.141086,0.0141981,0.035642,1e-06,0.00020833333333333335,0.000357,1e-06,0.03518275,0.035642,0.03474,2e-06,1e-06,1.5e-06
10,100,700,2024-11-06 16:35:23.321600,0.013958000000000002,0.035798,1e-06,0.00017849999999999997,0.000278,1e-06,0.03462725,0.035798,0.032946,2e-06,1e-06,1.5e-06
10,100,700,2024-11-06 16:35:47.794285,0.028012199999999998,0.037855,1e-06,1e-06,1e-06,1e-06,0.035015,0.037855,0.033386,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:36:05.520029,0.0275171,0.03773,1e-06,1.5e-06,2e-06,1e-06,0.034395999999999996,0.03773,0.03153,2e-06,1e-06,1.5e-06
10,100,700,2024-11-06 16:36:23.647019,0.006937499999999999,0.033906,2e-06,0.00027487499999999995,0.000444,2e-06,0.033588,0.033906,0.03327,2e-06,2e-06,2e-06
10,100,700,2024-11-06 16:36:36.791509,0.0002973,0.000555,1e-06,0.0002973,0.000555,1e-06,nan,nan,nan,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:36:41.843797,0.0135971,0.033714,2e-06,0.00023966666666666667,0.000316,2e-06,0.03363325,0.033714,0.033478,2e-06,2e-06,2e-06
10,100,700,2024-11-06 16:36:50.025424,0.01712,0.035056,1e-06,0.0001808,0.000319,1e-06,0.034059200000000005,0.035056,0.033234,2e-06,1e-06,1.5e-06
10,100,700,2024-11-06 16:37:38.159187,0.023649700000000003,0.034729,1e-06,0.000208,0.000347,1e-06,0.033696142857142855,0.034729,0.031048,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:38:09.353378,0.031375400000000005,0.036085,2e-06,2e-06,2e-06,2e-06,0.034861333333333334,0.036085,0.03337,2e-06,2e-06,2e-06
10,100,700,2024-11-06 16:38:53.038909,0.0278334,0.03654,1e-06,0.00014900000000000002,0.000297,1e-06,0.0347545,0.03654,0.03334,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:38:59.367791,0.0211767,0.037732,0.000255,0.00027675000000000003,0.000295,0.000255,0.035109999999999995,0.037732,0.033533,nan,nan,nan
10,100,700,2024-11-06 16:39:15.629662,0.031149299999999998,0.036665,1e-06,1e-06,1e-06,1e-06,0.03461022222222222,0.036665,0.032874,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:39:20.095413,0.027750900000000002,0.036421,1e-06,1.5e-06,2e-06,1e-06,0.034688250000000004,0.036421,0.032078,2e-06,1e-06,1.5e-06
10,100,700,2024-11-06 16:39:23.287986,0.024110600000000003,0.035918,1e-06,1e-06,1e-06,1e-06,0.03444328571428572,0.035918,0.031974,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:39:27.154835,0.027782,0.037517,1e-06,1.5e-06,2e-06,1e-06,0.034727125,0.037517,0.032685,2e-06,1e-06,1.5e-06
10,100,700,2024-11-06 16:39:29.987379,0.0280059,0.038843,1e-06,1e-06,1e-06,1e-06,0.035007125,0.038843,0.032563,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:39:42.308713,0.0177332,0.039804,0.00027,0.0003088,0.000338,0.00027,0.035157600000000004,0.039804,0.032133,nan,nan,nan
10,100,700,2024-11-06 16:39:59.949218,0.0245728,0.037436,1e-06,0.000246,0.00044,1e-06,0.03499857142857143,0.037436,0.033228,1e-06,1e-06,1e-06
10,100,700,2024-11-06 16:40:29.752624,0.020664599999999998,0.036263,1e-06,0.00016225,0.000352,1e-06,0.03433283333333333,0.036263,0.031657,2e-06,1e-06,1.5e-06
10,100,700,2024-11-06 16:40:33.471934,0.0209721,0.035698,0.00026,0.0002875,0.000339,0.00026,0.03476183333333333,0.035698,0.033043,nan,nan,nan
10,100,700,2024-11-06 16:40:38.003038,0.024017200000000002,0.037352,0.000248,0.00031299999999999996,0.000379,0.000248,0.034176142857142856,0.037352,0.033105,nan,nan,nan
10,100,700,2024-11-06 16:40:43.247899,0.020569499999999998,0.035314,1e-06,0.00023899999999999998,0.000403,1e-06,0.03412316666666666,0.035314,0.031907,1e-06,1e-06,1e-06
10,100,700,2024-11-06 17:05:51.865971,0.0244918,0.038348,0.000263,0.000358,0.000508,0.000263,0.03483485714285715,0.038348,0.033076,nan,nan,nan
10,100,700,2024-11-06 17:05:56.377753,0.0241981,0.036019,0.000276,0.0002973333333333333,0.00031,0.000276,0.034441285714285716,0.036019,0.033302,nan,nan,nan
